date_received,product,subproduct,issue,subissue,consumer_complaint_narrative,company_public_response,company_name,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id
2/12/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,CA,94582,,,Web,2/11/2014,Closed with non-monetary relief,TRUE,FALSE,711709
10/20/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,ERC,MA,01801,,Consent not provided,Web,10/22/2016,Closed with non-monetary relief,TRUE,TRUE,2168549
3/9/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,AR,72704,,,Web,3/9/2015,Closed with non-monetary relief,TRUE,FALSE,1273924
9/20/2016,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,ERC,AZ,85706,,,Phone,9/21/2016,Closed with non-monetary relief,TRUE,FALSE,2119516
10/27/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company can't verify or dispute the facts in the complaint,ERC,OR,97540,,Consent not provided,Web,10/30/2015,Closed with explanation,TRUE,FALSE,1627199
6/24/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"This company continues to report on my credit report after I sent them a letter telling them that this account was not mine and I have no idea what it is or who it belongs to! 

I asked for proof of a signed contract, I asked for a license to collect in my state, I asked for copies of all information referenced for this debt and still to date, I have not received anything but harassment from this company! 

THIS IS NOT MY DEBT! 

I WANT THIS ACCOUNT REMOVED FROM MY CREDIT REPORT AND THIS COMPANY TO STOP CONTACTING ME IMMEDIATELY!",Company believes it acted appropriately as authorized by contract or law,ERC,TX,77388,,Consent provided,Web,6/24/2015,Closed with non-monetary relief,TRUE,FALSE,1436131
12/30/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,TN,37013,,,Web,12/30/2014,Closed with non-monetary relief,TRUE,TRUE,1174908
6/2/2014,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,CA,94043,,,Phone,6/5/2014,Closed with non-monetary relief,TRUE,TRUE,877448
4/9/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,ERC,OH,45014,,,Phone,4/13/2015,Closed with non-monetary relief,TRUE,FALSE,1322946
2/5/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,CA,94954,,,Web,2/6/2015,Closed with non-monetary relief,TRUE,FALSE,1226911
1/22/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,TX,75203,,,Web,1/22/2015,Closed with non-monetary relief,TRUE,TRUE,1205084
2/12/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,VA,22180,Older American,,Phone,2/13/2015,Closed with non-monetary relief,TRUE,FALSE,1237102
1/12/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"i had an account with XXXX I opened with my daughter in XX/XX/XXXX. I purchased XXXX phones. In XX/XX/XXXX, I paid off the phones and cancelled my service and left my daughter on the T-mobile account. She was paying the bill. The bills were forwarded to HER home in N.C. and she was paying them. Around XX/XX/XXXX, my daughter purchased a 2 YEAR contract w/an XXXX. I was contacted when she wanted to purchase the XXXX and I told XXXX I was no longer the owner of the account again. They again removed me from the account, approved my daughter for the XXXX and I thought that was the end of it. Then I stopped receiving my mail all together, and discovered a change of address had been put in for me so I called the Post Office and had my mail switched back to my home and I discovered XXXX was charging me for 'something ', so I called and told them I did n't have an account. They said they fix it and again I thought they 'd figure it out. I confirmed with my daughter that she was paying her bill because I continued to get bills saying my account was over due, but she assured me she was paying, so I ignored it, and figured we were just being double billed. Finally in XX/XX/XXXX I received a collection notice, when I called I was told it was for an XXXX. It turns out that XXXX was billing me for her XXXX and billing my daughter only for phone service. They were trying to hold me accountable for her purchasing the phone but were billing her for the monthly service. I called several times with my contract showing I never authorized anyone other than myself to purchase or use my account. While this point is moot as I cancelled my account in XX/XX/XXXX. There are numerous calls from me cancelling the account, and my daughter opening an account. The account my daughter opened was a special account that allowed for a two year contract with the purchase of an iphone. XXXX used my credit to give her an XXXX. I spoke with several representative there, and my daughter does n't have a problem paying for the XXXX under the terms she thought she was agreeing to, i..e a two year plan which included the price of an XXXX. I am not responsible. Further I should n't be in collections. I called this evening after having been promised that I would be removed from collections, the outstanding balance would be transferred back to my daughter 's account, she could pay over the term of her contract as it was stated and that my credit report would be corrected. Now, I 'm being told by XXXX that they ca n't do it. It 's been too long they are n't resposible.",Company believes it acted appropriately as authorized by contract or law,ERC,MD,20746,,Consent provided,Web,1/12/2016,Closed with non-monetary relief,TRUE,FALSE,1735800
2/18/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,CA,93306.0,,,Web,2/19/2014,Closed with non-monetary relief,TRUE,FALSE,718957
4/21/2014,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,CO,80247.0,,,Web,5/23/2014,Closed with non-monetary relief,TRUE,FALSE,817292
12/7/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,WA,98403,,,Web,12/6/2013,Closed with non-monetary relief,TRUE,FALSE,625292
7/9/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,ERC,FL,33334,,Consent not provided,Web,7/9/2015,Closed with non-monetary relief,TRUE,TRUE,1458985
9/8/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,CA,92009,,,Web,9/8/2014,Closed with non-monetary relief,TRUE,FALSE,1017924
10/4/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,FL,32826,,,Web,10/9/2014,Closed with non-monetary relief,TRUE,FALSE,1058274
2/17/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,CA,95825.0,,,Web,2/18/2015,Closed with non-monetary relief,TRUE,TRUE,1242166
7/26/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,PR,00911,,,Web,7/30/2014,Closed with non-monetary relief,TRUE,FALSE,955690
2/11/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,IN,46060,,,Web,2/11/2015,Closed with non-monetary relief,TRUE,FALSE,1236525
10/5/2016,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,I keep on getting calls from EHANCED RECOVERY COMPANY i do not know what debt they are trying to collect,Company believes it acted appropriately as authorized by contract or law,ERC,MI,48180,,Consent provided,Web,11/14/2016,Closed with non-monetary relief,TRUE,FALSE,2147075
6/27/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,ERC,TX,77489,Servicemember,Consent not provided,Web,6/28/2016,Closed with non-monetary relief,TRUE,FALSE,1987220
1/6/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,I received a letter from this company demanding payment for a debt that is not mine. This is the XXXX debt collector that has sent me a demand for payment concerning this alleged account,Company believes it acted appropriately as authorized by contract or law,ERC,TN,37013,,Consent provided,Web,1/6/2016,Closed with non-monetary relief,TRUE,FALSE,1729116
1/3/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"XXXX Attention : XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX Re. : XXXX Dispute # XXXX Please note that this is in reference to account number XXXX pertaining to then phone XXXX for XXXX XXXX XXXX, XXXX XXXX, XXXX XXXX XXXX XXXX. As you will see from the documents enclosed I was incarcerated on XXXX XXXX, XXXX, at approximately XXXX and was not released until XXXX XXXX, XXXX. I am therefore rightfully disputing the {$600.00} XXXX claims that I owe them from billing for their services since just prior to my incarceration date I had already paid my last bill. I was not free in society to have been able to utilize XXXX 's services beyond then and I should not have been continued to be billed after the first payment beyond XXXX XXXX, XXXX, failed to be paid by me due to being incarcerated. 
I also want this erroneous debt claimed to be owed removed by XXXX from my Credit Reports. Although the erred referenced had been previously taken out from my Credit Reports upon XXXX having been notified of their error soon as I was released, recently on XXXX XXXX, XXXX, for some reason it was placed back on there and fraudulently claimed that it was a debt as of XXXX XXXX, XXXX. Despite this debt claimed being over almost six years olds well. 
I previously wrote about this matter after being released and learning of the above but have yet to hear anything, nor was I called regarding the investigation of this Dispute although I was told that I would be before any decision would be had. 
In sum, your time and expedient help in the resolution of this matter will be greatly appreciated. 
Cordially, XXXX XXXX",Company believes it acted appropriately as authorized by contract or law,ERC,NY,10465,,Consent provided,Web,1/3/2017,Closed,TRUE,TRUE,2271075
4/1/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,OH,45102,,Consent not provided,Web,4/1/2015,Closed with non-monetary relief,TRUE,TRUE,1311288
4/30/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,GA,30106,,,Phone,5/7/2014,Closed with non-monetary relief,TRUE,FALSE,832980
4/8/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,ERC,CA,91778,,Consent not provided,Web,4/8/2016,Closed with non-monetary relief,TRUE,FALSE,1871421
2/3/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,MA,02341,,,Web,2/3/2015,Closed with non-monetary relief,TRUE,TRUE,1221952
10/8/2014,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,FL,33928,Servicemember,,Web,10/8/2014,Closed with non-monetary relief,TRUE,FALSE,1063185
3/18/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,TN,37387,,,Web,3/18/2015,Closed with non-monetary relief,TRUE,FALSE,1288069
3/7/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,ERC,OH,43110,,Consent not provided,Web,3/7/2017,Closed with explanation,TRUE,FALSE,2375533
7/24/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,ERC,,,,Consent not provided,Web,7/30/2015,Closed with non-monetary relief,TRUE,TRUE,1486290
3/24/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"Collections Show All Dispute Options A collection is an account that has been turned over to a collection agency by one of your creditors because they believe the account has not been paid as agreed. ENHANCED RECOVERY COMPANY Dispute Item Agency Address : XXXX XXXX XXXX XXXX, FL XXXX ( XXXX ) XXXX Date Reported : XXXX Date Assigned : XXXX Creditor Classification : Cable/Cellular Creditor Name : XXXX Account Number : XXXX Account Owner : Individual Account. Original Amount Owned : {$400.00} Date of XXXX XXXX Delinquency : XXXX Balance Date : XXXX Balance Owned : {$400.00} Last Payment Date : Status Date : XXXX Status : D - Unpaid Comments : N/A Continue Dispute Summary XXXX XXXX XXXX for : XXXX XXXX As of Date : XX/XX/XXXX Personal Information Accounts Negative Information Inquiries Copyright ( C ) XX/XX/XXXX XXXX XXXX",,ERC,CA,95621,,Consent provided,Web,3/25/2015,Closed with non-monetary relief,TRUE,FALSE,1297267
1/24/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,VA,20190,,,Web,1/24/2015,Closed with non-monetary relief,TRUE,TRUE,1208080
9/10/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,I saw an open account on my credit that does not belong to me not even sure what it is.,Company believes it acted appropriately as authorized by contract or law,ERC,MA,01118,,Consent provided,Web,9/25/2015,Closed with non-monetary relief,TRUE,FALSE,1558752
10/13/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,ERC,GA,30349,,Consent not provided,Web,10/13/2016,Closed with non-monetary relief,TRUE,FALSE,2157904
6/6/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,ERC,TX,77070,,Consent not provided,Web,6/6/2016,Closed with non-monetary relief,TRUE,FALSE,1955670
12/4/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,MI,48317,Older American,,Web,12/8/2014,Closed with non-monetary relief,TRUE,FALSE,1142487
10/26/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,ERC,IL,62221,,Consent not provided,Web,10/26/2016,Closed with non-monetary relief,TRUE,FALSE,2180974
8/2/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"We received a bill from "" ERC '' ( the only identification on the bill, no other heading on the bill ) collecting on a bill from XXXX XXXX XXXX ( XXXX ). We have lived in the same house for over 30 years and have never had XXXX. The bill was for {$190.00} Called ERC, they referred me to XXXX. Quite clearly through the conversation with XXXX, this account was not associated with us, except that the first and last name of the delinquent consumer was the same as my husband. XXXX told me that I needed to file an identity theft report with the police and a notarized affidavit regarding not receiving services. In other words, a half day 's work. The entity that had stolen my husband 's identity in this scenario was ERC. 

While on hold, I googled the name and found an obituary for someone with the same first and last named in the correct city where the service was provided ( which the XXXX rep has disclosed ). 

ERCs apparent practice is to mail a bill to someone with the same name as the delinquent account in hopes that they will simply pay the bill. To me, this seems the same as "" phishing '' using the USPS rather than the internet. It seems like fraud to me.",Company believes it acted appropriately as authorized by contract or law,ERC,CA,90266,,Consent provided,Web,8/2/2016,Closed,TRUE,FALSE,2040241
3/23/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,I did not open a XXXX account back in 2013 like its showing on my credit history. Nor have i had a XXXX account in the past 7 years.,Company believes it acted appropriately as authorized by contract or law,ERC,FL,34678,,Consent provided,Web,4/15/2015,Closed with non-monetary relief,TRUE,FALSE,1295307
2/1/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,CA,95136,,,Web,2/1/2015,Closed with non-monetary relief,TRUE,FALSE,1219743
10/3/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"Upon review of my credit report from XXXX I noticed a collection account from Enhanced Recovery Co XXXX stating an amount of {$360.00} is owed. After contacting the listed bureaus I was informed to contact the reporting agency. Enhanced Recovery Co XXXX was contacted via certified mail requesting validity of this account. XXXX XXXX validation letter was signed and delivered on XXXX XXXX, 2016. Enhanced Recovery Co XXXX has yet to respond with proper documents bearing my signature. I have contract with this company nor the company they are representing. I request this collection is DELETED and REMOVED from all reporting credit bureaus.",Company believes it acted appropriately as authorized by contract or law,ERC,GA,30080,,Consent provided,Web,10/3/2016,Closed with non-monetary relief,TRUE,FALSE,2143786
7/25/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,Enhanced Recovery continued to report an false claim on my credit files. The debt is not mind,Company believes it acted appropriately as authorized by contract or law,ERC,MD,20706,,Consent provided,Web,7/25/2015,Closed with non-monetary relief,TRUE,FALSE,1486918
4/8/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,IN,38016.0,,Consent not provided,Web,4/8/2015,Closed with non-monetary relief,TRUE,FALSE,1321720
3/13/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,ERC,GA,30045,,Consent not provided,Web,3/15/2017,Closed,TRUE,TRUE,2383393
2/21/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,ERC,OH,45419,Servicemember,Consent not provided,Web,2/21/2017,Closed,TRUE,FALSE,2354726
7/19/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"The debt has been addressed, discussed, settled and disputed with client and XXXX other collection agencies. It is agreed that debt should no longer be collected for reasons stated previously. 

Dispute of Reference No. XXXX | Client Acct # XXXX Enhanced Recovery Company, XXXX XXXX XXXX XXXX XXXX, FL XXXX ( XXXX ) XXXX",Company believes it acted appropriately as authorized by contract or law,ERC,PA,19403,,Consent provided,Web,7/20/2016,Closed with non-monetary relief,TRUE,TRUE,2018587
7/29/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"On XXXX XXXX, 2015 I received a notice in the mail from Enhanced Recovery Company , LLC stating that they were collecting a balance of {$710.00} that I owed on a XXXX account. I called this company at XXXX and spoke to XXXX XXXX, who verified my demographic information and social security number. I told her that I never had a XXXX account. She then told me I needed to complete a fraud package which she mailed to me. I went to the police to file a report on this. The PA state police called XXXX and verified that I never had a XXXX account. The Officer informed me that this collection agency is a fraud as the XXXX logo on the paperwork they sent me was counterfeit. I was advised to report this incident to FTC who referred me to this web site.",Company believes the complaint is the result of a misunderstanding,ERC,PA,18092,,Consent provided,Web,7/29/2015,Closed with non-monetary relief,TRUE,FALSE,1492860
12/1/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,ERC,MD,20746,Servicemember,Consent not provided,Web,12/1/2015,Closed with non-monetary relief,TRUE,FALSE,1678497
12/4/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,TX,78210,,,Web,12/4/2014,Closed with non-monetary relief,TRUE,FALSE,1142685
6/12/2020,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,,ERC,CA,90805.0,,Consent not provided,Web,6/12/2020,Closed with explanation,TRUE,,3695934
9/14/2017,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,"Spoke with rep in regards to this account ask for "" FULL VALIDATION '' COPY OF ORIGINAL CONTRACTS NO REPONSE. STILL RECIEVE PHONE CALLS.",Company believes it acted appropriately as authorized by contract or law,ERC,IL,62034.0,,Consent provided,Web,9/14/2017,Closed with explanation,TRUE,,2673720
8/1/2022,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,,ERC,WA,98012,,Consent not provided,Web,8/1/2022,Closed with explanation,TRUE,,5832198
3/3/2023,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,,ERC,FL,33308.0,,,Web,3/3/2023,Closed with explanation,TRUE,,6637611
7/8/2021,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,"I recently pulled my credit report and noticed an inquiry on my report without my permissible use. According to the FCRA and the FDCPA, it should be removed. However, I have sent in continuous dispute letters obtaining all information needed to remove this inquiry. This inquiry is affecting my chances of establishing a great history with the current company. The name of the inquiry is ENHANCED RECOVERY CO L. The inquiry date is XX/XX/2021. The bureau reporting is XXXX. Thank you!",,ERC,MS,39211.0,Servicemember,Consent provided,Web,7/8/2021,Closed with explanation,TRUE,,4525554
4/12/2022,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,,ERC,FL,32246.0,,Consent not provided,Web,4/12/2022,Closed with explanation,TRUE,,5436297
12/21/2018,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,"Got an alert that an account was in collections from XXXX for {$500.00}. This doesnt belong to me. Ive never owed them money. I was once on a plan with XXXX with another person however I wasnt the primary, he was. This means that all balances were to be paid by him and he would take any penalties. Also I am currently using XXXX so I do not understand why they would let me obtain an account with them if I owe them money. Also received letters years ago with different amounts that I supposedly owe them. For this reasons I believe they are being dishonest and deceiving. Also someone called before a year ago to collect a debt and I paid them so they would leave me alone",Company believes it acted appropriately as authorized by contract or law,ERC,TX,76140.0,Servicemember,Consent provided,Web,12/21/2018,Closed with explanation,TRUE,,3107245
5/24/2018,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,"XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX ( XXXX ) XXXX Requested On : XX/XX/XXXX/ last update XX/XX/XXXX bought the {$170.00} Original Creditor : XXXX XXXX ( Cable/Cellular ) from this other collection co : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX , XXXX XXXX ( XXXX ) XXXX Requested On : XX/XX/XXXX Permissible Purpose : COLLECTION : this alleged account has been past from one COLLECTION co 's to another for the last 7 to 8 years I have never had an account with XXXX XXXX nor have I never received and invoice on what the XXXX is for or any breakdown- I have been pushed to the max and will start treatment theses COLLECTION Co as a Hostile attacks on my personal Character and my personal financial goals - as of yesterday I receive notice from two Credit cards- that I have had open with great out standing credit starting from XX/XX/XXXX : this notice was that my FICA had falling over night fromXXXX to XXXX nothing has changed on my credit reports from all three over the last year - XXXX XXXX XXXX has been calling for 6 /7 months I have informed them to cease and assist- however they continue to call and view my reports on all three credit reporting co. every month as XXXX was the primary reporter by my Credit cards I called then and pulled my report - I asked them why did my FICA dropped 100 point over night - the person XXXX said I can tell you that without you payment money first- I said what this was a Negv report and they should give me every thing that has cursed my FICA to fall 100 point instead of helping me Collection companies can report anything they want there's nothing I can do about it- but he will be happy to file a dispute I told him I have filed many disputed about this account and it gets sold off to a new CO and it start all over again theses actions are considered bad faith and Federal intervention should be taking : I could pay this at any time but I will never give in to theses Fraudulent COLLECTION co 's",Company believes it acted appropriately as authorized by contract or law,ERC,FL,33607.0,,Consent provided,Web,5/24/2018,Closed with explanation,TRUE,,2916663
11/16/2021,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,"THE COMPANY, ENHANCED RECOVERY COMPANY LLC PURCHASED A DEBT FROM ANOTHER COMPANY AND I HAD NO INVOLVEMENT WITH THE TRANSACTION. ACCORDING TO 15 USC 3002 I AM A NATURAL PERSON WHICH MEANS MY NAME IN ALL CAPS IS NOT ME. MY NAME IS XXXX XXXX. 15 USC 1692 ( A ) ( 1 ) The term "" Bureau '' means the Bureau of consumer Financial Protection. XXXX, XXXX, XXXX and XXXX are assumed to be credit bureaus and there is only one Bureau and that is the Consumer Financial protection Bureau. On XX/XX/XXXX XXXX congress enacted HJR-192 to suspend the gold standard and to abrogate the gold clause. This resolution declared that "" whereas '' the holding or dealing in gold affect the public interest, and are therefore subject to proper regulation and restriction ; and whereas the existing emergency has disclosed that provisions of obligations which purport to give the obligee a right to require payment in gold or a particular kind of coin or currency are inconsistent with the declared policy of congress in the payment of debts. This resolution declared that any obligation requiring "" payment in gold or a particular kind of coin or currency, or in an amount in money policy ; and every obligation heretofore or hereafter incurred, shall be discharged upon payment, dollar for dollar in any coin or currency which at the time of payment is legal tender for public and private debts. 15 USC 1681 ( 3 ) ( e ). The term "" investigative consumer report '' means a consumer report or portion thereof in which information on a consumer 's character, general reputation, personal characteristics or mode of living is obtained through personal interviews with neighbors, friends, or associates of the consumer reported on or with others with whom he is acquainted or who may have knowledge concerning any such information.",,ERC,TX,77449.0,,Consent provided,Web,11/16/2021,Closed with explanation,TRUE,,4917370
5/4/2021,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,,ERC,MN,55443.0,,Consent not provided,Web,5/4/2021,Closed with explanation,TRUE,,4349088
6/16/2021,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,,ERC,CA,91945.0,,Consent not provided,Web,6/16/2021,Closed with explanation,TRUE,,4466631
8/6/2021,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt is not yours,I PULLED MY CONSUMER REPORT AND SEE UNAUTHORIZED REPORTINGS OF ACCOUNTS ON MY REPORT. THE COMPANY IS IN VIOLATION OF : 15 USC 1681 ( a ) ( 4 ) 15 USC 1681 ( a ) ( 2 ) ( b ) 15 USC 1681 ( b ) ( a ) ( 2 ) 15 USC 1681 ( b ) ( 2 ) ( a ) 15 USC 1681 ( c ) ( 2 ),,ERC,CA,90044.0,,Consent provided,Web,8/6/2021,Closed with explanation,TRUE,,4610238
3/4/2021,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,,ERC,CA,92805.0,,Consent not provided,Web,3/4/2021,Closed with explanation,TRUE,,4182234
10/21/2022,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,On XX/XX/XXXX I mailed the debt collector ( Enhanced Recovery LLC ) a debt validation letter. I have not yet received any communication from them. They are still reporting the debt to the credit Bureaus. On XX/XX/XXXX which is the deadline for Their 30-day validation window. If I do not receive a proper debt validation that proves they are legitimate owners of the debt along with a signed contract or official document where I stated I am taking on the debt. Then I would like the collection taken off all credit reports and stopped being pursued in my name as is my right under the Fair Debt Collections Practices Act ( FDCPA ).,,ERC,CA,91304,,Consent provided,Web,10/21/2022,Closed with explanation,TRUE,,6114860
12/15/2021,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,I am writing to alert the Consumer Financial Protection Bureau of a collections company that is violating my rights and not using proper communication methods when showing up on my credit report. I need the CFPB office to please look into my case. This account has just popped up on my credit report without ever communicating to me. There was no written letter to me or calls to me so I can explain that they have the wrong person. They have recently just popped up on my credit report and I am not familiar with how they got my information or how they have my social security number. I do not owe this company {$2100.00}.,,ERC,NY,10805.0,,Consent provided,Web,1/10/2022,Closed with explanation,TRUE,,5011246
6/25/2019,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,Company believes it acted appropriately as authorized by contract or law,ERC,TX,77642.0,,Consent not provided,Web,6/25/2019,Closed with explanation,TRUE,,3285938
7/18/2018,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,"Approx. XX/XX/XXXX I recieved a letter from ERC stating I owed over {$300.00} for a direct tv box that was not returned. This box was returned directly to an XXXX  tech in XX/XX/XXXX. In XX/XX/XXXX, I confirmed with XXXX   that this debt was not valid. I was told by an XXXX rep that the information would be in ERC 's system shortly and it was taken care of. Today, XX/XX/XXXX, I received a letter stating I owed them {$190.00} for the same issue. Again, I called XXXX and confirmed AGAIN that this debit was settled and the box was returned. I then called ERC. They claimed this was the first contact from them and att sent them the debt on XX/XX/XXXX. They claim they do now own this debt but are preparing to report the credit bureau in XX/XX/XXXX. I feel that I am being harassed by a less than honest debt collector. I have returned all equipment owned by XXXX and this has been confirmed TWICE by XXXX.",Company believes it acted appropriately as authorized by contract or law,ERC,CA,92115,,Consent provided,Web,7/18/2018,Closed with explanation,TRUE,,2966841
